"Id","PSCV.1","MPS.1","MPFD.1","PSCV.2","MPS.2","MPFD.2","PD.2","PSCV.3","MPFD.3","PSCV.4","MPS.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","PD.5","PSCV.All","MPS.All","MPFD.All","SR"
1,2916.524043,552.9899677,1.044767645,3812.903357,620.4229153,1.043474323,0.071481944,894.010381,1.046191352,255.5571475,253.9034596,648.8684389,1.028429023,0.007393342,1561.775879,836.56092,1.039039085,0.008969291,3843.404777,397.9682134,1.044266468,0
2,2811.240185,609.6067049,1.045051574,2617.55335,467.0487715,1.043580912,0.078271988,871.7284692,1.045682007,256.2869246,283.3908748,726.2937577,1.031139802,0.00587575,1892.256963,1537.742174,1.036566742,0.007821362,3108.531946,388.1708177,1.044275999,0
3,2588.474338,266.1445493,1.04948632,2649.196608,320.0822657,1.04539267,0.104810352,1728.030596,1.054532957,163.6999523,208.3369249,341.0474466,1.028075592,0.000525316,120.6241194,60.09647845,1.036003911,0.001206282,2388.201135,286.5131544,1.049818863,0
4,1891.192865,183.9046171,1.044441464,3590.881673,2554.144407,1.038065642,0.026713312,592.8587642,1.047631574,377.8002949,280.3015285,1058.980001,1.026817853,0.003949601,427.1833484,57.30385468,1.035032974,0.014027894,7472.891578,404.4506985,1.044376951,0
5,1718.727468,192.4907102,1.043750451,3317.637823,3204.202413,1.038385646,0.022627518,525.2026547,1.044697145,154.0742555,197.7133187,304.6253239,1.027284679,0.005116971,1103.237456,114.0461918,1.034321816,0.015292544,7580.633718,446.5473046,1.042618027,0
6,1074.669715,190.7272965,1.044266178,3222.511487,3507.281103,1.037886379,0.021071025,478.9879371,1.043479886,362.3527495,234.0740936,848.173914,1.026729464,0.006420534,1315.97424,148.1804961,1.034407778,0.016031879,7575.272752,469.727607,1.042015566,0
7,947.9128872,233.5355951,1.044572916,3363.316209,3176.861734,1.037387258,0.023036097,606.6001798,1.042677066,354.3634977,240.7993935,853.3051533,1.027212172,0.006595639,1204.58466,146.2226084,1.039403461,0.014903421,7238.727086,502.6659634,1.041967012,0
8,1532.141702,310.5361149,1.044023812,4029.192024,1898.11138,1.041759761,0.035604779,1028.025385,1.043310868,173.9509612,210.1889313,365.6256664,1.024600134,0.005389357,484.020866,114.9566019,1.040697647,0.012704875,6645.917198,475.2875417,1.042650825,0
9,2174.367253,486.8794311,1.044206309,4821.142323,937.5195615,1.043721554,0.059068912,945.7889791,1.043886625,140.4883761,199.4933747,280.2650025,1.025305455,0.005214252,422.2684462,143.792845,1.045877533,0.010253398,5594.28357,409.967255,1.043621439,0
10,2536.830787,655.3533802,1.044342623,4494.870307,567.1080083,1.043775187,0.078563988,878.3193368,1.045323758,242.6242294,230.0967724,558.2705209,1.026581839,0.005039146,421.950568,131.5007379,1.04444381,0.009455695,4294.271913,374.8366012,1.044243184,0
11,2601.209142,684.8034835,1.044305091,3608.264672,422.4594995,1.044719969,0.092669706,827.4932482,1.045583111,228.5770104,271.2128251,619.9301674,1.029324006,0.004494374,474.3435115,126.848517,1.041505093,0.009728082,3562.796697,341.2175182,1.044627412,0
12,2309.819604,776.9600142,1.043823006,2152.187924,307.2629998,1.044799164,0.105082738,412.1986382,1.04626916,229.706762,307.8309525,707.1085135,1.034388317,0.004221987,1302.399139,241.6621064,1.038337523,0.011420768,2880.904611,309.1398699,1.044865558,0
13,1864.246774,692.2865778,1.043048388,2028.78656,366.8367643,1.044346385,0.095665763,478.6965837,1.04598009,352.1793833,374.7215887,1319.69218,1.037721544,0.006109223,1855.274179,460.1934904,1.036235414,0.014222427,2283.013451,318.2322951,1.044309882,0
14,3002.410449,291.0574517,1.048611549,3856.458873,369.4104585,1.045422349,0.097631028,1364.606573,1.05587103,108.1173133,227.0681346,245.4999664,1.02455109,0.000350211,113.2864644,44.80373318,1.027957969,0.000856071,3255.690686,286.3694827,1.050292408,0
15,1878.937045,312.8270394,1.047769738,2371.573872,318.9191313,1.04567593,0.105374581,2110.385415,1.054753734,107.2409013,234.1640138,251.119599,1.023824394,0.000311299,112.9705939,39.25469988,1.025851641,0.001186826,2146.143427,286.2578377,1.049518939,0
16,2760.064837,334.5216688,1.047580831,3270.713066,303.290248,1.045701122,0.107806385,2748.781129,1.053901702,104.9860564,201.6619098,211.7168864,1.019854985,0.00025293,449.3613833,91.44007978,1.028693254,0.001245192,2971.565684,288.3946694,1.049175394,0
17,906.881154,173.4000725,1.044583249,3332.79382,3188.596015,1.038265817,0.022471869,762.7002343,1.044787953,405.9474895,277.0911509,1124.84457,1.023411291,0.003424285,201.6997054,49.58178124,1.035633275,0.014183543,7824.999045,414.931741,1.043258218,0
18,743.8806203,167.0228028,1.045462207,3019.940801,4134.596472,1.036551212,0.018249881,533.1395096,1.042357993,418.2823312,250.0099871,1045.747602,1.023228649,0.003930145,561.2354015,60.80426858,1.034087544,0.01430028,8000.035088,444.8082628,1.042254652,0
19,674.927928,163.1178688,1.045404819,2834.178744,4870.829437,1.037206132,0.016031879,519.0991725,1.04046605,387.5443031,237.8995908,921.9663111,1.025327842,0.005116971,465.8018259,73.37199263,1.037014283,0.015020158,8010.144755,476.3447151,1.041551482,0
20,1507.715364,226.6434666,1.045171636,3164.047099,3639.609893,1.037310776,0.020390059,706.3195097,1.040601618,403.2897798,265.6992069,1071.537746,1.024625428,0.005447726,409.2467101,85.79046977,1.041512444,0.014592123,7357.911381,501.1465948,1.041639397,0
21,2171.396921,306.8077806,1.044895876,3770.670072,2181.887229,1.041026085,0.030974212,1123.611103,1.041535137,295.0566474,243.6008618,718.7605359,1.024482995,0.004299812,431.0002047,88.97324635,1.042293083,0.012607594,6658.136248,480.6658072,1.042374509,0
22,2693.024135,538.0866167,1.04410845,3839.792759,1125.234252,1.044238221,0.049535392,528.0146022,1.042145158,176.9998444,214.1906512,379.1171193,1.024905955,0.004163619,436.0263675,94.25219268,1.042889322,0.012101734,4930.168017,436.2382852,1.042875679,0
23,2905.543381,780.9112013,1.042897758,3998.051614,629.4712975,1.045076677,0.069730889,564.0968566,1.043119782,181.1166592,207.7095638,376.1966227,1.025182451,0.004066338,396.9567222,108.5220068,1.046255008,0.010136661,4301.948262,400.6984857,1.043449866,0
24,2847.017652,790.4694606,1.043823839,2928.332527,424.0198055,1.045618862,0.086735576,820.4169346,1.04532409,183.018327,235.1683788,430.4012326,1.028120794,0.003074074,442.0410671,102.8191804,1.042777983,0.009183309,3546.961215,361.3441701,1.044798422,0
25,2390.114977,784.6712452,1.043628447,2282.937085,338.3560573,1.045852916,0.098701117,551.8719504,1.04557374,186.2605463,265.9203771,495.3047471,1.032999774,0.002723863,527.4035631,97.72108916,1.038396834,0.010311767,3013.070425,319.6964282,1.044907734,0
26,2999.672173,730.2485556,1.043256618,2733.265019,415.6211613,1.044942518,0.088661736,544.5630283,1.044950614,368.9622367,428.495612,1580.986994,1.038200866,0.004941865,625.7881387,113.4898964,1.03815874,0.013638771,3608.3881,323.7643765,1.044190058,0
27,2521.155076,551.8468841,1.043791725,2136.972046,486.6418138,1.043430692,0.083622422,541.4378774,1.045253634,596.2629966,514.9980168,3070.742608,1.039962405,0.007724081,844.1620617,158.1647791,1.038482096,0.017646705,2677.02338,315.7688639,1.043945618,0
28,2969.525173,310.1934768,1.047434927,4137.727529,479.1490143,1.044516478,0.086249172,753.3627192,1.055011984,94.52971214,267.1389819,252.5257106,1.029053725,0.000330755,189.9446944,70.67451956,1.036601977,0.001147914,3925.266201,285.4311921,1.049824118,0
29,1557.647318,343.7684617,1.046967189,2690.841614,396.6020719,1.044931232,0.097767221,951.2072614,1.054419668,93.92108415,273.5138894,256.8872103,1.026926133,0.000311299,206.734666,55.85633258,1.030895158,0.001323019,2279.510538,281.6306562,1.049379152,0
30,2669.623637,381.9693563,1.046532154,3448.995584,371.0072243,1.045515214,0.101697366,1156.137359,1.05441393,89.35950287,229.525582,205.102919,1.02467178,0.000408579,475.3997086,79.44668586,1.025420857,0.001478668,3136.984073,282.6373097,1.049410413,0
