"Id","MPS.1","MPFD.1","LPI.1","PSCV.2","MPS.2","MPFD.2","PSCV.3","MPFD.3","MPS.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","PD.5","PSCV.All","SR"
1,597.8716338,1.043504019,7.301603912,6217.788311,781.1569667,1.043361075,671.8369608,1.044315464,246.4896482,1.031925099,0.005407478,2865.251403,2661.709997,1.037787554,0.00960793,5893.549813,0
2,650.8326049,1.043506487,7.787142065,5407.29913,666.3829657,1.043416638,723.3829284,1.043916794,269.528119,1.033012487,0.005673013,3318.866268,2816.018289,1.038562297,0.009541525,5663.78212,0
3,294.4819,1.0497,4.9217,4442.2575,342.1531,1.0443,4630.8199,1.0531,209.4073,1.0201,3e-04,236.6758,52.6928,1.034,0.0015,4033.7312,0
4,188.391,1.0456,1.4042,6718.7961,1955.4064,1.0425,847.7121,1.0477,241.8761,1.0235,0.0031,3756.8712,1138.3691,1.0345,0.0096,11114.197,0
5,200.6997,1.0451,1.4042,6419.3654,2144.0541,1.042,879.7651,1.0461,239.7738,1.0232,0.0037,3849.1072,1324.0726,1.036,0.0099,10815.2481,0
6,246.8353673,1.045271287,2.322991279,6752.849691,1842.870205,1.040225399,910.8250514,1.044444288,257.1109505,1.02788872,0.004260803,4033.466499,1221.666671,1.03647771,0.01099601,10373.19919,0
7,342.2066555,1.044775914,5.203605112,6928.686033,1512.306099,1.041968183,771.9118972,1.043258064,264.9452806,1.029858647,0.005117792,3945.308761,1129.168301,1.037343479,0.011605558,9394.219985,0
8,451.1910034,1.044589835,8.322666123,7082.789182,1185.438255,1.042891609,725.3407732,1.04284894,265.3679474,1.030694707,0.005383337,3275.727277,1171.656489,1.037031517,0.01123138,8260.710906,0
9,525.7581536,1.044424073,9.463076504,6748.500214,985.6821299,1.042814883,681.7084296,1.042930547,264.4669137,1.031709248,0.005401443,2774.134571,1277.297774,1.038598762,0.010639937,7177.868475,0
10,611.6842111,1.044070059,10.52487656,6281.313907,819.8859869,1.043022749,712.4847812,1.043446601,259.3641228,1.031706002,0.005377302,2958.822594,1385.275987,1.038604931,0.010332145,6241.738147,0
11,675.1845687,1.04353126,14.50628415,5396.718803,704.2713491,1.043467395,722.6085214,1.043390915,284.8519077,1.032825223,0.005666989,3548.62876,1539.368028,1.039114163,0.010440778,5768.069315,0
12,722.3882806,1.043725036,15.33486941,4162.84888,572.3955405,1.043256241,712.7785935,1.04383608,377.3284862,1.035562716,0.005848043,3999.922719,1800.878342,1.039020073,0.010953764,5489.838193,0
13,761.439797,1.043123956,15.50208983,2991.92748,481.7126814,1.043779792,696.7540915,1.044178075,534.0727168,1.037258541,0.005534205,4059.76659,2274.137209,1.039479795,0.01076062,5709.365839,0
14,262.6813,1.0496,4.1317,7128.8296,425.5356,1.0442,3858.7326,1.0531,208.2868,1.0195,4e-04,384.7426,65.1068,1.0311,0.0014,5650.0244,0
15,268.5718,1.0492,2.5207,7503.8057,483.4423,1.0443,3243.7386,1.053,222.7285,1.0213,5e-04,406.3544,106.987,1.0288,0.0016,6176.2322,0
16,266.3912,1.0482,3.9937,7792.8443,559.8115,1.0445,3798.772,1.0523,225.251,1.0225,9e-04,807.5259,272.7911,1.0295,0.0019,7038.9892,0
17,188.1736,1.0458,1.4042,6831.7068,2062.6087,1.0415,866.6322,1.047,264.4307,1.0237,0.0028,3350.7106,462.6888,1.0363,0.0092,12226.98,0
18,215.7999303,1.04578416,1.592637788,6828.965212,2045.501596,1.039851438,851.6913191,1.045015627,265.5493026,1.028498434,0.003621079,3658.814859,510.3948367,1.03747461,0.010658042,11946.22352,0
19,273.7163186,1.045357523,5.236058346,6846.107994,1886.529518,1.040534018,790.9421554,1.04393229,264.7095258,1.028608679,0.003983187,3793.278988,562.4268175,1.03786021,0.011273626,11102.71796,0
20,367.5008738,1.045405864,8.601477401,7150.221608,1500.464297,1.041830068,724.7599638,1.042698342,257.9601959,1.028811138,0.00433926,3763.836729,525.0997872,1.037594613,0.011533137,10095.23793,0
21,453.5335926,1.044904306,10.63519264,7037.143779,1228.368693,1.042353544,718.3440756,1.042347218,279.9375275,1.029971857,0.0045867,3460.07425,444.031288,1.037796636,0.01123138,8960.979562,0
22,547.1893946,1.044926909,12.20752379,6246.236979,1037.730043,1.042418216,405.4775765,1.042377901,287.804376,1.030428349,0.004653086,2585.159327,418.5606739,1.03795867,0.010724429,7388.350551,0
23,650.1055323,1.043623907,16.58098639,6049.014174,854.4120206,1.043107045,527.4204285,1.042480231,271.9704571,1.03008379,0.004580665,2634.886694,474.5706873,1.038513414,0.010175232,6820.04229,0
24,708.9209609,1.043920852,18.07283851,5034.719362,711.6163608,1.043162829,713.6759253,1.042909865,322.0765085,1.032641541,0.004972948,3370.402568,614.2693204,1.039253829,0.01077271,5834.095756,0
