Id,TSN,PSN,PAQ,PET,NPP,RE,CVE,X,Y
1,541.5089722,69.9312973,785.9920044,1202.089966,892,839,64.85,583232,2450454
2,512.9249878,72.7185974,826.1409912,1204.890015,905,1551,85.24,633232,2450454
3,362.1619873,84.8115997,801.9920044,1199.430054,676,1441,20.05,-466768,2500454
4,557.3140259,76.9027023,841.4550171,1161.969971,721,780,66.9,283232,2500454
5,576.9019775,74.7324982,830.1409912,1157.199951,684,307,42.44,333232,2500454
6,599.190979,71.8258972,773.3309937,1160.27002,754,310,32.72,383232,2500454
7,607.7260132,70.8728027,764.6939697,1175.300049,727,429,44.4,433232,2500454
8,595.5969849,70.2658005,751.9500122,1185.420044,962,711,68.65,483232,2500454
9,582.7189941,67.4564972,723.7109985,1186.540039,1122,1113,91.37,533232,2500454
10,563.9899902,67.2478027,723.802002,1188.300049,1001,1040,68.82,583232,2500454
11,532.2719727,72.6395035,832.6030273,1175.5,952,1090,53.21,633232,2500454
12,541.4160156,72.5606995,865.5209961,1164.280029,1152,939,77.47,683232,2500454
13,540.664978,71.7015991,888.0079956,1157.300049,1194,973,66.86,733232,2500454
14,381.8869934,87.2762985,813.6779785,1177.920044,1146,1593,19.23,-466768,2550454
15,374.447998,86.2320023,777.5369873,1145.560059,870,1600,19.51,-416768,2550454
16,375.8959961,83.6242981,740.8930054,1129.819946,729,1475,20.77,-366768,2550454
17,577.8380127,74.5914001,809.0410156,1159.949951,892,606,49.23,283232,2550454
18,593.447998,69.8276978,766.6450195,1155.839966,755,445,40.14,333232,2550454
19,605.2810059,66.9568024,726.2069702,1139.109985,692,1387,72.71,383232,2550454
20,617.4279785,67.430397,714.7930298,1163.859985,733,927,66.93,433232,2550454
21,612.7800293,68.9052963,682.1240234,1169.569946,1022,1032,94.96,483232,2550454
22,601.5219727,66.3013992,639.6119995,1174.189941,1051,838,88.06,533232,2550454
23,578.1699829,68.7481995,695.8510132,1178.189941,1055,604,55.92,583232,2550454
24,571.7490234,70.2144012,742.6610107,1165.660034,979,747,74.37,633232,2550454
25,570.7860107,69.9391022,770.867981,1155.099976,860,790,77.82,683232,2550454
26,569.4000244,68.6055984,787.9260254,1123.839966,1088,876,84.81,733232,2550454
27,572.2689819,67.0992966,783.5449829,1104.380005,1027,769,112.23,783232,2550454
28,394.6629944,87.7322998,742.2810059,1150.48999,908,1455,21.07,-466768,2600454
29,391.2579956,86.3520966,710.9420166,1103.530029,905,1777,21.25,-416768,2600454
30,392.355011,85.3280029,688.9089966,1125.339966,919,2069,24.9,-366768,2600454
31,399.0320129,85.8231964,676.5120239,1111.449951,763,1961,36.93,-316768,2600454
32,405.8720093,87.7426987,654.2150269,1083.390015,698,1971,19.6,-266768,2600454
33,425.6170044,86.7930984,532.3309937,1067.680054,677,1255,13.68,-216768,2600454
34,439.32901,86.3627014,585.3140259,1017.919983,881,1653,21.67,-166768,2600454
35,450.4630127,84.3190002,639.4379883,1021.229981,958,978,10.31,-116768,2600454
36,548.5,85.7316971,732.1409912,1089.26001,889,1284,34.32,133232,2600454
37,565.1409912,82.047699,742.3220215,1143.930054,843,1000,57.54,183232,2600454
38,572.3460083,78.915802,796.2310181,1134.75,640,795,44.58,233232,2600454
39,593.8729858,74.016098,816.7849731,1116.469971,670,666,29.05,283232,2600454
40,612.0529785,69.2658005,836.5869751,1118.23999,1019,1263,52.24,333232,2600454
41,618.4470215,66.5807037,821.3389893,1131.819946,875,1356,68.73,383232,2600454
42,632.5189819,65.290802,703.3720093,1147.030029,1155,448,55.88,433232,2600454
43,631.2849731,65.9225998,565.7849731,1156.229981,1117,866,79.52,483232,2600454
44,616.2349854,65.3513031,605.9829712,1104.959961,1097,1340,89.77,533232,2600454
45,613.1220093,66.9264984,641.6199951,1136.329956,1092,638,76.49,583232,2600454
46,609.1790161,67.776001,663.2230225,1114.73999,742,864,77.16,633232,2600454
47,600.2310181,67.3482971,689.7769775,1102.609985,781,806,70.06,683232,2600454
48,594.8599854,66.3345032,711.4879761,1102.560059,1113,1152,64.45,733232,2600454
49,596.5269775,65.1082993,712.6119995,1079.050049,965,783,66.75,783232,2600454
50,598.5440063,64.9462967,705.901001,1069,1100,735,124.6,833232,2600454
51,590.5939941,65.9023972,729.5869751,1058.229981,1059,674,93.39,883232,2600454
52,579.4019775,66.8248978,775.835022,1077.530029,1008,1066,78.65,933232,2600454
53,573.072998,68.0548019,792.197998,1104.030029,1000,980,96.68,983232,2600454
54,560.375,66.5112,771.6030273,1095.52002,889,935,71.17,1033232,2600454
55,398.7720032,86.9005966,692.2979736,1114.449951,781,2385,22.41,-516768,2650454
56,406.9400024,86.3921967,666.3469849,1081.390015,912,2146,23.12,-466768,2650454
57,407.0150146,85.4598999,634.5209961,1089.810059,799,1870,20.27,-416768,2650454
58,414.1719971,83.669899,622.0410156,1052.540039,758,2516,38.77,-366768,2650454
59,415.3729858,85.2990036,590.1740112,1117.280029,784,2063,24.87,-316768,2650454
60,433.401001,82.8879013,514.8510132,1048.52002,789,1574,13.75,-266768,2650454
61,432.8940125,83.4288025,504.5039978,1020.059998,909,1456,16.63,-216768,2650454
62,452.9719849,82.6638031,541.132019,1039.800049,957,1284,16.72,-166768,2650454
63,464.2399902,81.5986023,574.9589844,1031.130005,963,1457,16.14,-116768,2650454
64,493.0169983,80.5959015,598.9589844,1036.920044,948,901,10.25,-66768,2650454
65,518.1610107,80.3814011,622.7600098,1038.459961,926,1042,14.96,-16768,2650454
66,535.3469849,84.6138992,673.5869751,1055.810059,963,1165,23,33232,2650454
67,553.1079712,89.0587006,706.1569824,1069.959961,881,1287,34.9,83232,2650454
68,561.1380005,85.9352036,706.9589844,1074.23999,912,1482,42.55,133232,2650454
69,583.9169922,81.2006989,713.934021,1060.459961,865,1032,38.19,183232,2650454
70,609.0200195,76.6607971,726.0830078,1069.02002,787,827,32.96,233232,2650454
71,627.723999,73.2493973,744.065979,1052.780029,655,836,32.7,283232,2650454
72,630.3629761,69.4841003,813.9169922,1078.900024,924,920,35.92,333232,2650454
73,641.5380249,66.7805023,794.3140259,1090.209961,1103,858,31.74,383232,2650454
74,651.6970215,65.4414978,701.7600098,1103.819946,1124,565,51.86,433232,2650454
75,659.5549927,65.6167984,589.5540161,1128.530029,1028,727,51.18,483232,2650454
76,642.8189697,65.2446976,635.0410156,1083.900024,1003,1641,60.27,533232,2650454
77,648.3339844,65.8414001,626.8590088,1053.599976,1053,870,51.04,583232,2650454
78,643.7420044,66.4263,623.2069702,1056.73999,929,1096,56.36,633232,2650454
79,637.6619873,64.9235001,624.3220215,1052.569946,970,1020,63.04,683232,2650454
80,623.6569824,64.3975983,637.164978,1037.670044,1055,1367,86.23,733232,2650454
81,620.7210083,65.0054016,672.9749756,1040.130005,1167,1228,55.24,783232,2650454
82,626.1480103,65.8671036,688.098999,1071,1023,838,71.33,833232,2650454
83,617.6049805,66.8164978,713.2069702,1075.300049,979,997,78.2,883232,2650454
84,604.2119751,66.9667969,737.7930298,1055.660034,887,1036,56.4,933232,2650454
85,593.9680176,67.5410004,729,1074.469971,995,868,53.61,983232,2650454
86,589.9050293,64.9985962,699.1069946,1115.5,971,956,65.59,1033232,2650454
87,579.5410156,61.0544014,670.7520142,1126.890015,958,1069,58.1,1083232,2650454
88,574.4860229,59.6529999,643.7440186,1123.569946,898,1024,71.34,1133232,2650454
89,415.3250122,82.9256973,604.0579834,1071.420044,832,1976,22.44,-516768,2700454
90,414.8519897,83.1564026,579.4459839,1085.349976,880,2258,24.81,-466768,2700454
91,423.0090027,82.4059982,554.7269897,1046.060059,644,2066,23.49,-416768,2700454
92,435.6090088,83.4307022,527.5209961,1103.160034,777,2267,23.72,-366768,2700454
93,443.5150146,84.2928009,463.8840027,1090.060059,731,1693,16.84,-316768,2700454
94,442.4570007,83.2071991,504.1489868,1029.979981,867,1091,10.33,-266768,2700454
95,443.2510071,82.5162964,508.3800049,1002.570007,887,1535,12.56,-216768,2700454
96,459.2009888,82.233902,527.164978,1028.060059,910,1114,9.04,-166768,2700454
97,471.5679932,81.6572037,564.8510132,1029.550049,965,1558,14.44,-116768,2700454
98,508.7780151,79.9541016,601.9260254,1047.98999,947,1551,26.75,-66768,2700454
99,529.9689941,80.7837982,655.3389893,1044.390015,987,1190,19.29,-16768,2700454
100,552.3330078,83.737999,723.5209961,1025.900024,970,1351,25.16,33232,2700454
101,567.7730103,85.7359009,720.3880005,1040.640015,935,1189,25.24,83232,2700454
102,578.3480225,83.0087967,678.0079956,995.0349731,900,1608,30.06,133232,2700454
103,600.8640137,78.2910004,663.6610107,1005.450012,829,969,19.02,183232,2700454
104,628.0839844,74.3321991,664.7020264,1015.27002,729,984,28.62,233232,2700454
105,651.6619873,71.7137985,682.132019,1023.830017,746,849,30.95,283232,2700454
106,671.2050171,69.6733017,690.9089966,1052.670044,908,498,31.37,333232,2700454
107,664.4210205,67.0819016,738.2310181,1061.920044,841,483,24.26,383232,2700454
108,675.617981,66.3579025,699.5700073,1082.910034,798,543,52.17,433232,2700454
109,679.367981,67.4350967,661.9829712,1088.810059,719,596,50.36,483232,2700454
110,675.4000244,65.4285965,676.6450195,1050.01001,882,1013,53.74,533232,2700454
111,682.7739868,64.1741028,636.9169922,1066.349976,811,1082,68.01,583232,2700454
112,689.1859741,63.5410004,598.6119995,1031.589966,848,1291,64.77,633232,2700454
113,677.742981,62.4357986,595.8930054,1030.800049,794,1686,73.45,683232,2700454
114,660.0239868,62.457901,608.4050293,989.3209839,1005,1389,46.79,733232,2700454
115,660.3590088,63.7076988,604.4459839,976.7470093,1104,1295,58.32,783232,2700454
116,655.7659912,65.9694977,633.7600098,995.6099854,1068,1534,58.18,833232,2700454
117,650.9260254,66.4710999,653.5540161,1060.75,991,1225,81.51,883232,2700454
118,636.1610107,66.0828018,667.6119995,1026.619995,1024,1117,51.79,933232,2700454
119,621.4069824,64.8082962,682.2730103,1039.25,1066,1117,36.57,983232,2700454
120,624.1489868,62.5396996,638.8839722,1082.5,987,896,46.94,1033232,2700454
121,616.8660278,59.7683983,601.4130249,1089.630005,995,1009,48.59,1083232,2700454
122,602.1749878,58.2429008,579.2639771,1109.73999,986,1196,56.4,1133232,2700454
123,588.8720093,58.3314018,571.4550171,1113.280029,922,1043,55.11,1183232,2700454
124,434.3779907,81.8003998,693.2639771,1092.709961,857,2260,27.59,-616768,2750454
125,436.3680115,77.5510025,560.2399902,1061.439941,920,1875,19.52,-566768,2750454
126,432.651001,75.5767975,509.8429871,1073.640015,887,1677,17.77,-516768,2750454
127,432.95401,78.0916977,501.9670105,1057.25,575,1631,14.91,-466768,2750454
128,431.9049988,79.0746002,487.8590088,1066.119995,765,1690,15.41,-416768,2750454
129,453.9119873,84.3578033,425.6119995,1079.140015,665,1215,7.63,-366768,2750454
130,454.2070007,84.9044037,448.1239929,1082.910034,771,1167,11.42,-316768,2750454
131,446.0859985,84.5485001,466.8680115,1046.729981,776,992,8.69,-266768,2750454
132,451.0369873,83.3575974,505.1740112,1012.5,782,1116,8.17,-216768,2750454
133,460.1159973,82.9016037,519.6450195,1026.459961,875,908,7.9,-166768,2750454
134,468.7850037,83.0753021,562.6779785,1017.570007,858,770,7.18,-116768,2750454
135,497.5079956,82.0605011,613.7520142,1003.929993,895,1216,13.86,-66768,2750454
136,544.5239868,80.5914993,666.6450195,1007.880005,924,1561,18.91,-16768,2750454
137,569.5750122,79.9020996,697.9589844,992.3120117,918,1196,21.91,33232,2750454
138,589.9429932,80.6750031,684.7189941,1012.130005,895,1364,29.18,83232,2750454
139,603.6259766,78.2210999,652.9749756,999.2719727,885,1228,31.24,133232,2750454
140,624.9829712,74.5442963,605.6279907,990.9489746,798,1062,29.84,183232,2750454
141,649.2340088,71.7921982,607.3720093,980.9500122,804,1004,28.2,233232,2750454
142,675.6439819,69.4524994,619.7020264,972.4099731,702,841,20,283232,2750454
143,694.0189819,67.5680008,618.7930298,1000.650024,801,713,29.44,333232,2750454
144,698.75,65.6987,629.9169922,980.9320068,747,1382,42.09,383232,2750454
145,699.6090088,66.7810974,675.6939697,1030.219971,688,980,59.53,433232,2750454
146,707.0709839,69.7891006,718.2150269,1028.119995,746,1068,39.32,483232,2750454
147,713.2319946,66.3270035,684.3640137,1028.98999,753,920,58.08,533232,2750454
148,710.6300049,63.1450005,630.8510132,1014.820007,749,1431,64.87,583232,2750454
149,718.2730103,60.6753998,582.8759766,973.0319824,737,1550,63.19,633232,2750454
150,707.1599731,59.5984993,568.2399902,923.757019,829,1259,48.77,683232,2750454
151,708.9240112,59.5419998,543.0499878,951.8430176,887,1563,47.3,733232,2750454
152,695.0440063,61.1431999,545.3549805,977.6879883,869,1506,64.8,783232,2750454
153,682.6900024,63.6590996,571.4299927,979.2349854,1012,1642,47.28,833232,2750454
154,694.8330078,64.2897034,557.2069702,1033.430054,1016,1152,88.25,883232,2750454
155,677.7509766,63.0404015,591.3720093,1032.390015,1067,1247,65.29,933232,2750454
156,667.2329712,61.3053017,601.8930054,1065.160034,1000,881,45.8,983232,2750454
157,664.2059937,59.678299,592.6530151,1066.640015,1005,698,34.66,1033232,2750454
158,648.8569946,59.0429993,594.1489868,1064.829956,1054,1003,36.97,1083232,2750454
159,632.0499878,58.4816017,583.0170288,1068.170044,862,1187,39.98,1133232,2750454
160,615.6660156,58.0457993,553.2230225,1094.079956,886,1084,42.49,1183232,2750454
161,595.2709961,58.4155006,553.5620117,1048.199951,908,1232,37.68,1233232,2750454
162,444.2219849,68.9582977,485.1740112,1017.01001,770,1923,16.91,-566768,2800454
163,441.9500122,69.0701981,450.4549866,1010.01001,870,2719,19.78,-516768,2800454
164,443.8999939,71.5145035,434.9500122,1064.709961,849,1526,13.65,-466768,2800454
165,449.6549988,73.3771973,403.098999,1073.619995,726,1113,8.78,-416768,2800454
166,451.0499878,89.322197,351.6199951,1064.949951,662,1293,11.17,-366768,2800454
167,447.4729919,89.0105972,430.3970032,1141.869995,773,1638,19.32,-316768,2800454
168,457.4030151,86.7245026,472.2810059,1036.920044,800,1228,10.18,-266768,2800454
169,450.4500122,86.0559006,504.1570129,1028.930054,738,1508,11.86,-216768,2800454
170,460.473999,85.0792999,508.42099,1040.079956,725,931,6.74,-166768,2800454
171,478.4549866,84.9701004,552.4050293,1003.130005,873,738,6.6,-116768,2800454
172,507.8259888,84.1563034,612.6119995,987.6060181,810,1285,10.01,-66768,2800454
173,557.8759766,81.8187027,659.3060303,970.6569824,871,1098,10.68,-16768,2800454
174,589.0059814,78.9766006,660.7189941,968.2249756,883,1336,13.8,33232,2800454
175,611.2109985,77.3570023,638.5449829,987.1660156,902,1098,26.57,83232,2800454
176,628.7139893,75.1173019,612.3720093,954.2910156,825,1167,18.44,133232,2800454
177,651.5689697,72.3881989,579.6610107,953.3690186,763,918,26.13,183232,2800454
178,676.6199951,69.9309006,566.7189941,949.3289795,755,916,17.28,233232,2800454
179,699.6480103,67.5019989,567.7930298,940.7470093,735,820,15.45,283232,2800454
180,716.0380249,65.0082016,555.6530151,941.190979,740,1373,22.92,333232,2800454
181,724.5380249,63.0298004,554.2150269,929.6989746,704,1490,33.5,383232,2800454
182,744.5900269,61.6318016,576.5869751,974.4910278,647,1888,52.06,433232,2800454
183,729.9110107,66.675499,684.6859741,993.7730103,608,1573,58.93,483232,2800454
184,742.9229736,64.9235001,648.4050293,949.3070068,607,1491,66.94,533232,2800454
185,734.8029785,60.3801994,604.835022,973.2210083,700,1420,54.26,583232,2800454
186,746.8319702,58.0522003,547.0830078,962.6090088,772,1720,55.46,633232,2800454
187,747.0789795,56.4687996,519.065979,992.8629761,803,892,53.48,683232,2800454
188,735.5709839,56.3442993,522.3140259,997.5750122,745,1550,57.8,733232,2800454
189,737.5079956,57.8679008,508.1489868,964.0410156,682,1286,52.64,783232,2800454
190,730.625,59.9603996,509.1239929,951.9530029,835,1548,56.07,833232,2800454
191,713.5050049,59.9603004,533.197998,946.0469971,838,1444,35.37,883232,2800454
192,708.7150269,58.9422989,543.1240234,983.8400269,878,1253,38.15,933232,2800454
193,714.492981,57.5982018,519.2479858,1056.790039,863,1000,52.26,983232,2800454
194,712.7000122,56.2411003,514.1409912,1062.98999,939,838,49.16,1033232,2800454
195,687.0780029,56.6442986,550.901001,1069.349976,951,911,41.85,1083232,2800454
196,668.3369751,57.1948013,559.3720093,1065.400024,781,1196,35.53,1133232,2800454
197,647.9160156,57.6029015,546.164978,1075.660034,930,821,32.9,1183232,2800454
198,598.0939941,58.217701,546.9089966,1031.630005,901,1468,37.71,1233232,2800454
199,586.5910034,58.6523018,544.9169922,1076.98999,578,1282,43.02,1283232,2800454
200,598.3959961,60.0826988,439.5450134,1067.329956,815,1418,38.65,1333232,2800454
201,444.3479919,62.6727982,419.1489868,973.0839844,843,2231,19.18,-516768,2850454
202,452.5939941,63.5668983,376.9670105,1106.810059,730,2100,21.08,-466768,2850454
203,449.9570007,71.240799,376.1820068,1057.349976,725,2398,19.35,-416768,2850454
204,455.7940063,89.7804031,410.644989,1058.910034,745,2241,17.62,-366768,2850454
205,458.8779907,94.4304962,426.5039978,1181.479981,756,1848,23.78,-316768,2850454
206,461.3540039,91.169899,495.3800049,1094.550049,693,2290,15.68,-266768,2850454
207,470.118988,88.6668015,488.5950012,979.3920288,691,3133,23.99,-216768,2850454
208,478.8609924,87.2582016,511.8680115,1018.380005,776,2731,19.28,-166768,2850454
209,498.7390137,86.2973022,532.098999,996.4530029,855,925,5.04,-116768,2850454
210,524.0430298,84.6673965,580.2639771,955.7869873,919,1391,10.63,-66768,2850454
211,571.6669922,81.1537018,611.6199951,966.2849731,838,2067,18.9,-16768,2850454
212,610.2680054,77.6779022,611.7520142,957.5910034,835,1381,21.41,33232,2850454
213,634.4140015,75.4918976,597.5949707,938.2230225,806,1098,15.47,83232,2850454
214,651.71698,73.3768997,572.3140259,924.6019897,770,717,8.96,133232,2850454
215,669.2080078,71.1194992,546.8259888,909.3540039,767,697,9.92,183232,2850454
216,690.0549927,68.2834015,536.7109985,907.8029785,810,879,13.68,233232,2850454
217,723.6519775,65.5037003,523.1160278,918.492981,761,1132,25.91,283232,2850454
218,731.8770142,62.9180984,521.2479858,921.3410034,687,1263,23.91,333232,2850454
219,746.4279785,60.7680016,501.1319885,929.5540161,606,1166,31.12,383232,2850454
